City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,codrington,-38.2667,141.9667,49.69,93,1,7.63,AU,1734193098
84,carnarvon,-24.8667,113.6333,76.42,78,14,17.07,AU,1734193099
85,sola,-13.8833,167.55,82.81,79,97,19.8,VU,1734193100
86,ancud,-41.8697,-73.8203,61.03,61,0,9.51,CL,1734193101
87,anadyr,64.75,177.4833,23.5,86,75,4.47,RU,1734192890
88,port-gentil,-0.7193,8.7815,80.31,80,81,8.75,GA,1734192853
89,mugia,43.1041,-9.2179,55.9,59,3,9.55,ES,1734193104
90,el jadid,33.2549,-8.506,64.56,63,100,18.3,MA,1734193105
91,richards bay,-28.783,32.0377,71.01,79,99,6.35,ZA,1734193106
92,la passe,45.5549,-0.8967,46.87,81,43,6.04,FR,1734193108
93,portland,45.5234,-122.6762,50.79,84,75,14.97,US,1734192841
94,klyuchi,52.2667,79.1667,26.37,73,99,17.34,RU,1734193110
95,karratha,-20.7377,116.8463,84.38,64,99,10.83,AU,1734193111
96,ambon,-3.6954,128.1814,85.87,100,40,5.75,ID,1734193113
97,hithadhoo,-0.6,73.0833,82.11,82,76,14.74,MV,1734193114
98,san luis de la loma,17.2706,-100.8939,82.42,62,30,4.16,MX,1734193115
99,dalandzadgad,43.5708,104.425,16.74,26,0,4.54,MN,1734193116
100,raipur,21.2333,81.6333,62.74,45,8,3.44,IN,1734193117
101,afaahiti,-17.75,-149.2833,72.75,86,100,19.57,PF,1734193118
102,ola,59.5833,151.2833,6.8,81,100,14.5,RU,1734193120
103,akrehamn,59.2667,5.1833,39.45,81,75,20.71,NO,1734193121
104,sassandra,4.95,-6.0833,83.8,69,44,9.48,CI,1734193122
105,sandnessjoen,66.0217,12.6316,32.61,67,83,17.45,NO,1734193123
106,quepos,9.4236,-84.1652,82.45,65,6,3.24,CR,1734193124
107,da lat,11.9465,108.4419,61.32,98,100,6.8,VN,1734193125
108,port-vila,-17.7338,168.3219,78.01,82,100,9.42,VU,1734193126
109,naze,28.3667,129.4833,52.72,70,57,12.75,JP,1734193127
110,kayangel,8.0823,134.7173,80.82,86,99,22.86,PW,1734193128
111,college,64.8569,-147.8028,-4.05,59,0,6.91,US,1734193129
112,lebu,-37.6167,-73.65,60.46,61,0,18.77,CL,1734193130
113,afif,23.9065,42.9172,59.52,37,0,15.48,SA,1734193131
114,nikolayevsk-on-amure,53.1406,140.73,-17.88,99,63,4.97,RU,1734193132
115,new norfolk,-42.7826,147.0587,54.72,97,11,2.57,AU,1734193134
116,constantia,44.1833,28.65,34.7,70,85,18.59,RO,1734193135
117,posse,-14.0931,-46.3694,77.16,75,99,2.64,BR,1734193136
118,isafjordur,66.0755,-23.124,32.13,89,71,24.96,IS,1734193137
119,remire-montjoly,4.9167,-52.2667,89.64,62,40,11.5,GF,1734193102
120,san andres,12.5847,-81.7006,84.22,74,20,11.5,CO,1734193077
121,kandyagash,49.4744,57.4233,19.99,81,100,14.99,KZ,1734193140
122,vorgashor,67.5833,63.95,3.78,92,100,17.9,RU,1734193141
123,luderitz,-26.6481,15.1594,68.0,66,0,18.66,NA,1734193142
124,lazaro cardenas,17.9583,-102.2,81.07,69,81,5.03,MX,1734193143
125,tayshet,55.9342,98.0044,15.84,93,100,2.42,RU,1734193144
126,pontinia,41.4109,13.0441,52.61,90,90,5.79,IT,1734193146
127,dolinsk,47.35,142.8,8.91,85,48,5.61,RU,1734193147
128,shakargarh,32.2623,75.1668,55.53,18,4,4.68,PK,1734193020
129,masterton,-40.9597,175.6575,58.86,89,100,4.45,NZ,1734193149
130,kailua-kona,19.6406,-155.9956,75.16,83,75,0.0,US,1734193150
131,tadine,-21.55,167.8833,77.74,82,100,8.97,NC,1734193151
132,bredasdorp,-34.5322,20.0403,70.72,46,0,11.56,ZA,1734193152
133,dauphin,51.1494,-100.0502,15.94,79,0,3.44,CA,1734193153
134,toumodi,6.5613,-5.0158,96.6,22,17,6.53,CI,1734193154
135,nha trang,12.25,109.1833,77.0,95,100,19.64,VN,1734193155
136,saldanha,-33.0117,17.9442,64.62,69,0,17.6,ZA,1734193156
137,erenhot,43.6475,111.9767,16.07,46,12,11.63,CN,1734193158
138,zheshart,62.0731,49.5733,1.08,90,100,6.87,RU,1734193159
139,port lincoln,-34.7333,135.8667,66.47,76,8,8.72,AU,1734193160
140,jinxiang,27.4327,120.6062,44.38,65,0,6.91,CN,1734193161
141,lawas,13.764,121.0566,75.4,88,7,6.76,PH,1734193162
142,vernon,50.2581,-119.2691,35.76,91,100,2.3,CA,1734193144
143,walvis bay,-22.9575,14.5053,65.39,70,14,13.85,NA,1734192960
144,hanzhong,33.0728,107.0303,35.06,33,0,1.48,CN,1734193165
145,farasan,16.7022,42.1183,80.71,62,0,3.69,SA,1734193166
146,port elizabeth,-33.918,25.5701,71.31,71,20,11.5,ZA,1734193167
147,tarija,-21.5355,-64.7296,73.31,56,75,4.61,BO,1734193168
148,adrar,20.5022,-10.0711,89.02,11,76,14.74,MR,1734193171
149,saint-paul,-21.0096,55.2707,77.09,89,90,3.02,RE,1734193172
150,fort bragg,35.139,-79.006,49.68,74,0,11.5,US,1734193173
151,hinton,53.4001,-117.5857,18.54,93,100,3.4,CA,1734193042
152,lere,10.387,8.5726,83.7,11,4,8.55,NG,1734193175
153,san nicolas de los arroyos,-33.3358,-60.2252,92.57,20,2,10.8,AR,1734193176
154,ulsteinvik,62.3432,5.8487,41.76,84,99,1.99,NO,1734193177
155,blantyre,-15.785,35.0085,77.61,61,75,11.5,MW,1734193179
156,yichun,47.7,128.9,5.16,97,100,2.42,CN,1734192944
157,tura,25.5198,90.2201,58.71,79,0,3.91,IN,1734193182
158,zhangjiakou,40.81,114.8794,19.74,43,0,8.21,CN,1734193184
159,newman,37.3138,-121.0208,51.06,80,96,10.0,US,1734193127
160,nova sintra,14.8667,-24.7167,76.71,74,85,8.05,CV,1734193186
161,tete,-16.1564,33.5867,107.69,21,75,18.41,MZ,1734193187
162,luganville,-15.5333,167.1667,80.11,84,97,8.88,VU,1734193188
163,kruisfontein,-34.0033,24.7314,67.71,59,0,12.44,ZA,1734193189
164,beitbridge,-22.2167,30.0,85.3,46,12,26.37,ZW,1734193190
165,tolanaro,-25.0319,46.9987,82.47,78,0,2.3,MG,1734193191
